The Taming,"[""Berek's Respite (633.9)"", ""Berek's Pass (2.0)"", ""Berek's Grip (11.37)""]",647.27,824.1,176.83000000000004
Kingmaker,"['Soul Taker (115.37)', 'Heartbreaker (1.0)']",116.37,279.64,163.26999999999998
The Anima Stone,"['Primordial Might (60.0)', 'Primordial Harmony (49.22)', 'Primordial Eminence (10.0)']",119.22,163.99,44.77000000000001
Arborix,"['Grelwood Shank (45.0)', 'Beltimber Blade (15.0)']",60.0,88.64,28.64
Magna Eclipsis,"['Invictus Solaris (9.72)', 'Vix Lunaris (15.0)']",24.72,45.49,20.770000000000003
The Vinktar Square,"['Agnerod North (8.0)', 'Agnerod South (6.27)', 'Agnerod East (5.37)', 'Agnerod West (5.0)']",24.64,43.76,19.119999999999997
The Retch,"['Feastbind (14.0)', 'Faminebind (10.0)']",24.0,38.23,14.229999999999997
Duskdawn,"['Shade of Solaris (155.48)', 'Light of Lunaris (164.82)']",320.29999999999995,216.47,-103.82999999999996
